sp|P57575|RL18_BUCAI	d51f2eb45a7abd2c6a803322aa1e8d15	122	CDD	cd00432	Ribosomal_L18_L5e	30	120	1.73843E-33	T	24-01-2024	-	-	-	-
sp|P57575|RL18_BUCAI	d51f2eb45a7abd2c6a803322aa1e8d15	122	Pfam	PF00861	Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast	8	122	3.5E-31	T	24-01-2024	IPR005484	Large ribosomal subunit protein uL18	GO:0003735(InterPro)|GO:0005840(InterPro)|GO:0006412(InterPro)	Reactome:R-BTA-5389840|Reactome:R-BTA-5419276|Reactome:R-CEL-5389840|Reactome:R-CEL-5419276|Reactome:R-HSA-5368286|Reactome:R-HSA-5389840|Reactome:R-HSA-5419276|Reactome:R-MMU-5389840|Reactome:R-MMU-5419276
sp|P57575|RL18_BUCAI	d51f2eb45a7abd2c6a803322aa1e8d15	122	PANTHER	PTHR12899	39S RIBOSOMAL PROTEIN L18, MITOCHONDRIAL	12	122	2.6E-23	T	24-01-2024	IPR005484	Large ribosomal subunit protein uL18	GO:0003735(InterPro)|GO:0005840(InterPro)|GO:0006412(InterPro)|GO:0008097(PANTHER)|GO:0022625(PANTHER)	Reactome:R-BTA-5389840|Reactome:R-BTA-5419276|Reactome:R-CEL-5389840|Reactome:R-CEL-5419276|Reactome:R-HSA-5368286|Reactome:R-HSA-5389840|Reactome:R-HSA-5419276|Reactome:R-MMU-5389840|Reactome:R-MMU-5419276
sp|P57575|RL18_BUCAI	d51f2eb45a7abd2c6a803322aa1e8d15	122	Hamap	MF_01337_B	50S ribosomal protein L18 [rplR].	7	122	24.638233	T	24-01-2024	IPR004389	Large ribosomal subunit protein uL18, bacterial-type	GO:0003735(InterPro)|GO:0005840(InterPro)|GO:0006412(InterPro)	-
sp|P57575|RL18_BUCAI	d51f2eb45a7abd2c6a803322aa1e8d15	122	NCBIfam	TIGR00060	50S ribosomal protein L18	11	122	2.8E-34	T	24-01-2024	IPR004389	Large ribosomal subunit protein uL18, bacterial-type	GO:0003735(InterPro)|GO:0005840(InterPro)|GO:0006412(InterPro)	-
sp|P57658|ISCU_BUCAI	8a05410262076effdc92c613aa4023df	127	Pfam	PF01592	NifU-like N terminal domain	2	125	1.3E-50	T	24-01-2024	IPR002871	NIF system FeS cluster assembly, NifU, N-terminal	GO:0005506(InterPro)|GO:0016226(InterPro)|GO:0051536(InterPro)	MetaCyc:PWY-7887|MetaCyc:PWY-7892|Reactome:R-HSA-1362409|Reactome:R-HSA-9694301|Reactome:R-MMU-1362409|Reactome:R-SCE-1362409|Reactome:R-SPO-1362409
sp|P57658|ISCU_BUCAI	8a05410262076effdc92c613aa4023df	127	PANTHER	PTHR10093	IRON-SULFUR CLUSTER ASSEMBLY ENZYME  NIFU HOMOLOG	3	125	1.5E-60	T	24-01-2024	IPR002871	NIF system FeS cluster assembly, NifU, N-terminal	GO:0005506(InterPro)|GO:0005737(PANTHER)|GO:0006879(PANTHER)|GO:0008198(PANTHER)|GO:0016226(InterPro)|GO:0051536(InterPro)|GO:0051537(PANTHER)	MetaCyc:PWY-7887|MetaCyc:PWY-7892|Reactome:R-HSA-1362409|Reactome:R-HSA-9694301|Reactome:R-MMU-1362409|Reactome:R-SCE-1362409|Reactome:R-SPO-1362409
sp|P57658|ISCU_BUCAI	8a05410262076effdc92c613aa4023df	127	CDD	cd06664	IscU_like	3	117	6.88023E-47	T	24-01-2024	IPR002871	NIF system FeS cluster assembly, NifU, N-terminal	GO:0005506(InterPro)|GO:0016226(InterPro)|GO:0051536(InterPro)	MetaCyc:PWY-7887|MetaCyc:PWY-7892|Reactome:R-HSA-1362409|Reactome:R-HSA-9694301|Reactome:R-MMU-1362409|Reactome:R-SCE-1362409|Reactome:R-SPO-1362409
sp|P57658|ISCU_BUCAI	8a05410262076effdc92c613aa4023df	127	NCBIfam	TIGR01999	Fe-S cluster assembly scaffold IscU	3	125	1.7E-65	T	24-01-2024	IPR011339	Iron-sulfur cluster assembly scaffold protein IscU	GO:0005506(InterPro)|GO:0016226(InterPro)|GO:0051536(InterPro)	Reactome:R-HSA-1362409|Reactome:R-HSA-9694301|Reactome:R-MMU-1362409|Reactome:R-SCE-1362409|Reactome:R-SPO-1362409
sp|P57549|LON_BUCAI	ed52ed65ef33ee3aa67773107b33c6b3	777	Pfam	PF02190	ATP-dependent protease La (LON) substrate-binding domain	10	201	6.5E-53	T	24-01-2024	IPR003111	Lon protease, N-terminal domain	-	Reactome:R-BTA-9033241|Reactome:R-DRE-9033241|Reactome:R-HSA-390471|Reactome:R-HSA-9033241|Reactome:R-HSA-9679191|Reactome:R-HSA-983168|Reactome:R-MMU-9033241|Reactome:R-MMU-983168|Reactome:R-RNO-9033241|Reactome:R-SPO-983168
